1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1300,G3-KLU-35                         ,NLMYWA00211106                    ,0,240,185,85
1301,MYSUA000471186                    ,H-BLK-SA                          ,3710,345,,310
1302,NLMYWA00211155                    ,G6-CMN-56                         ,180,255,200,120
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1305,H-JHB-NX                          ,MYSUA000471149                    ,,260,435,255
1306,G5-BHU-46                         ,NLMYWA00211157                    ,100,155,240,80
1297,NLMYWA00210833                    ,G11-KSR-88                        ,800,335,465,165
1298,NLMYWA00211253                    ,G5-STW-49                         ,2960,230,405,260
